// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// Red Potion
IG_BlueBox,2267,3	// Cigarette
IG_BlueBox,2268,3	// Pipe
IG_BlueBox,2269,3	// Romantic Flower
IG_BlueBox,2270,3	// Romantic Leaf
IG_BlueBox,2271,3	// Jack be Dandy
IG_BlueBox,2274,1	// Ghost Bandana
IG_BlueBox,2275,3	// Red Bandana
IG_BlueBox,2276,3	// Angled Glasses
IG_BlueBox,2277,3	// Nurse Cap
IG_BlueBox,2278,3	// Mr. Smile
IG_BlueBox,2279,3	// Bomb Wick
IG_BlueBox,2282,3	// Halo
IG_BlueBox,2285,3	// Apple of Archer
IG_BlueBox,2287,3	// Pirate Bandana
IG_BlueBox,2288,3	// Mr. Scream
IG_BlueBox,2289,3	// Poo Poo Hat
IG_BlueBox,2290,3	// Funeral Hat
IG_BlueBox,2291,3	// Masquerade
IG_BlueBox,2294,3	// Stellar
IG_BlueBox,2295,3	// Blinker
IG_BlueBox,2297,3	// Goblin Mask
IG_BlueBox,2298,3	// Green Feeler
IG_BlueBox,2299,3	// Orc Helm
IG_BlueBox,2301,3	// Cotton Shirt
IG_BlueBox,2302,3	// Cotton Shirt
IG_BlueBox,2303,3	// Jacket
IG_BlueBox,2304,3	// Jacket
IG_BlueBox,2305,3	// Adventurer's Suit
IG_BlueBox,2306,3	// Adventurer's Suit
IG_BlueBox,2307,3	// Mantle
IG_BlueBox,2308,3	// Mantle
IG_BlueBox,2309,3	// Coat
IG_BlueBox,2310,3	// Coat
IG_BlueBox,2311,3	// Mink Coat
IG_BlueBox,2312,3	// Padded Armor
IG_BlueBox,2313,3	// Padded Armor
IG_BlueBox,2314,3	// Chain Mail
IG_BlueBox,2315,3	// Chain Mail
IG_BlueBox,2316,3	// Full Plate
IG_BlueBox,2317,3	// Full Plate
IG_BlueBox,2318,3	// Lord's Clothes
IG_BlueBox,2320,3	// Formal Suit
IG_BlueBox,2321,3	// Silk Robe
IG_BlueBox,2322,3	// Silk Robe
IG_BlueBox,2323,3	// Scapulare
IG_BlueBox,2324,3	// Scapulare
IG_BlueBox,2325,3	// Saint's Robe
IG_BlueBox,2326,3	// Saint's Robe
IG_BlueBox,2328,3	// Wooden Mail
IG_BlueBox,2329,3	// Wooden Mail
IG_BlueBox,2330,3	// Tights
IG_BlueBox,2331,3	// Tights
IG_BlueBox,2332,3	// Silver Robe
IG_BlueBox,2333,3	// Silver Robe
IG_BlueBox,2335,3	// Thief Clothes
IG_BlueBox,2336,3	// Thief Clothes
IG_BlueBox,2337,3	// Ninja Suit
IG_BlueBox,2339,3	// Pantie
IG_BlueBox,2340,3	// Novice Breastplate
IG_BlueBox,2341,3	// Legion Plate Armor
IG_BlueBox,2352,3	// Tattered Novice Ninja Suit
IG_BlueBox,2365,1	// Orleans's Gown
IG_BlueBox,2401,3	// Sandals
IG_BlueBox,2402,3	// Sandals
IG_BlueBox,2403,3	// Shoes
IG_BlueBox,2404,3	// Shoes
IG_BlueBox,2405,3	// Boots
IG_BlueBox,2406,3	// Boots
IG_BlueBox,2407,3	// Crystal Pumps
IG_BlueBox,2408,3	// Shackles
IG_BlueBox,2409,3	// High Heels
IG_BlueBox,2411,3	// Greaves
IG_BlueBox,2414,3	// Novice Slippers
IG_BlueBox,2416,1	// Novice Shoes
IG_BlueBox,2420,1	// Angel's Reincarnation
IG_BlueBox,2501,3	// Hood
IG_BlueBox,2502,3	// Hood
IG_BlueBox,2503,3	// Muffler
IG_BlueBox,2504,3	// Muffler
IG_BlueBox,2505,3	// Manteau
IG_BlueBox,2506,3	// Manteau
IG_BlueBox,2507,3	// Ancient Cape
IG_BlueBox,2508,3	// Ragamuffin Manteau
IG_BlueBox,2510,3	// Somber Novice Hood
IG_BlueBox,2512,1	// Novice Manteau
IG_BlueBox,2513,1	// Heavenly Maiden Robe
IG_BlueBox,2514,1	// Pauldron
IG_BlueBox,2515,1	// Eagle Wing
IG_BlueBox,2601,3	// Ring
IG_BlueBox,2602,3	// Earring
IG_BlueBox,2603,3	// Necklace
IG_BlueBox,2604,3	// Glove
IG_BlueBox,2605,3	// Brooch
IG_BlueBox,2607,3	// Clip
IG_BlueBox,2608,3	// Rosary
IG_BlueBox,2609,3	// Skull Ring
IG_BlueBox,2610,3	// Gold Ring
IG_BlueBox,2611,3	// Silver Ring
IG_BlueBox,2612,3	// Flower Ring
IG_BlueBox,2613,3	// Diamond Ring
IG_BlueBox,2617,3	// Celebrant's Mitten
IG_BlueBox,2618,3	// Matyr's Leash
IG_BlueBox,2621,1	// Ring
IG_BlueBox,2622,1	// Earring
IG_BlueBox,2623,1	// Necklace
IG_BlueBox,2624,1	// Glove
IG_BlueBox,2625,1	// Brooch
IG_BlueBox,2626,1	// Rosary
IG_BlueBox,2627,3	// Belt
IG_BlueBox,2628,3	// Novice Armlet
IG_BlueBox,2652,1	// Goddess of Fortune's Cursed Brooch
IG_BlueBox,2654,1	// Shinobi Sash
IG_BlueBox,2656,1	// Armor Charm
IG_BlueBox,5002,1	// Jewel Crown
IG_BlueBox,5003,3	// Joker Jester
IG_BlueBox,5005,3	// Gas Mask
IG_BlueBox,5006,3	// Machoman's Glasses
IG_BlueBox,5009,3	// Safety Helmet
IG_BlueBox,5010,3	// Indian Fillet
IG_BlueBox,5011,3	// Aerial
IG_BlueBox,5014,3	// Fin Helm
IG_BlueBox,5015,3	// Egg Shell
IG_BlueBox,5030,3	// Panda Hat
IG_BlueBox,5035,3	// Poring Hat
IG_BlueBox,5037,3	// Nutshell
IG_BlueBox,5055,3	// Novice False Eggshell
IG_BlueBox,5085,1	// Small Ribbons
IG_BlueBox,5088,3	// Surprised Mask
IG_BlueBox,5089,3	// Annoyed Mask
IG_BlueBox,5090,3	// Goblin Leader Mask
IG_BlueBox,5111,1	// Galapago Cap
IG_BlueBox,5112,1	// Super Novice Hat
IG_BlueBox,5113,1	// Angry Snarl
IG_BlueBox,5114,1	// Bucket Hat
IG_BlueBox,5116,1	// Banana Hat
IG_BlueBox,5118,1	// Puppy Headband
IG_BlueBox,5119,1	// Super Novice Hat
IG_BlueBox,5120,1	// Bucket Hat
IG_BlueBox,5122,1	// Magni's Cap
IG_BlueBox,5175,1	// Censor Bar
IG_BlueBox,7001,12	// Mould Powder
IG_BlueBox,7002,12	// Ogre Tooth
IG_BlueBox,7003,12	// Anolian Skin
IG_BlueBox,7004,12	// Mud Lump
IG_BlueBox,7005,12	// Skull
IG_BlueBox,7006,12	// Wing of Red Bat
IG_BlueBox,7007,12	// Claw of Rat
IG_BlueBox,7008,12	// Stiff Horn
IG_BlueBox,7009,12	// Glitter Shell
IG_BlueBox,7010,12	// Tail of Steel Scorpion
IG_BlueBox,7011,12	// Claw of Monkey
IG_BlueBox,7012,12	// Tough Scalelike Stem
IG_BlueBox,7013,12	// Coral Reef
IG_BlueBox,7014,12	// Old Portrait
IG_BlueBox,7015,12	// Memory Bookmark
IG_BlueBox,7016,12	// Bent Spoon
IG_BlueBox,7026,12	// Key of the Clock Tower
IG_BlueBox,7027,12	// Key of the Underground
IG_BlueBox,7030,12	// Claw of Desert Wolf
IG_BlueBox,7031,12	// Old Frying Pan
IG_BlueBox,7032,12	// Piece of Egg Shell
IG_BlueBox,7033,12	// Poison Spore
IG_BlueBox,7034,12	// Red Stocking
IG_BlueBox,7035,12	// Matchstick
IG_BlueBox,7036,12	// Fang of Garm
IG_BlueBox,7038,12	// Yarn
IG_BlueBox,7041,12	// Fine Grit
IG_BlueBox,7047,12	// Alice's Apron
IG_BlueBox,7048,12	// Talon of Griffon
IG_BlueBox,7049,12	// Stone
IG_BlueBox,7053,12	// Cyfar
IG_BlueBox,7054,12	// Brigan
IG_BlueBox,7059,12	// Free Ticket for Kafra Storage
IG_BlueBox,7060,12	// Free Ticket for Kafra Transportation
IG_BlueBox,7061,12	// Free Ticket for the Cart Service
IG_BlueBox,7063,12	// Soft Feather
IG_BlueBox,7064,12	// Wing of Dragonfly
IG_BlueBox,7065,12	// Sea-Otter Fur
IG_BlueBox,7066,12	// Ice Cubic
IG_BlueBox,7067,12	// Stone Fragment
IG_BlueBox,7068,12	// Burnt Tree
IG_BlueBox,7069,12	// Destroyed Armor
IG_BlueBox,7070,12	// Broken Shell
IG_BlueBox,7071,12	// Tattered Clothes
IG_BlueBox,7072,12	// Old Shuriken
IG_BlueBox,7093,12	// Cogwheel
IG_BlueBox,7094,12	// Fragment
IG_BlueBox,7095,12	// Metal Fragment
IG_BlueBox,7096,12	// Lava
IG_BlueBox,7097,12	// Burning Heart
IG_BlueBox,7098,12	// Live Coal
IG_BlueBox,7099,12	// Worn-out Magic Scroll
IG_BlueBox,7100,12	// Sharp Leaf
IG_BlueBox,7101,12	// Peco Peco Feather
IG_BlueBox,7106,12	// Antelope Horn
IG_BlueBox,7107,12	// Antelope Skin
IG_BlueBox,7108,12	// Piece of Shield
IG_BlueBox,7109,12	// Shining Spear Blade
IG_BlueBox,7110,12	// Broken Sword
IG_BlueBox,7111,12	// Slick Paper
IG_BlueBox,7112,12	// Sharp Paper
IG_BlueBox,7113,12	// Broken Pharaoh Emblem
IG_BlueBox,7114,12	// Masque of Tutankhamen
IG_BlueBox,7115,12	// Harpy Feather
IG_BlueBox,7116,12	// Harpy Talon
IG_BlueBox,7117,12	// Torn Magic Book
IG_BlueBox,7118,12	// Torn Scroll
IG_BlueBox,7119,12	// Bacillus
IG_BlueBox,7120,12	// Burning Horseshoe
IG_BlueBox,7121,12	// Honey Pot
IG_BlueBox,7122,12	// Burning Hair
IG_BlueBox,7123,12	// Dragon Skin
IG_BlueBox,7124,12	// Sand Clump
IG_BlueBox,7125,12	// Scorpion Claw
IG_BlueBox,7126,12	// Large Jellopy
IG_BlueBox,7134,12	// Medicine Bowl
IG_BlueBox,7135,12	// Fire Bottle
IG_BlueBox,7136,12	// Acid Bottle
IG_BlueBox,7137,12	// Plant Bottle
IG_BlueBox,7138,12	// Marine Sphere Bottle
IG_BlueBox,7139,12	// Glistening Coat
IG_BlueBox,7149,12	// Yellow Plate
IG_BlueBox,7150,12	// Piece of Bamboo
IG_BlueBox,7151,12	// Oil Paper
IG_BlueBox,7152,12	// Glossy Hair
IG_BlueBox,7153,12	// Worn-out Kimono
IG_BlueBox,7154,12	// Poisonous Powder
IG_BlueBox,7155,12	// Poisonous Toad Skin
IG_BlueBox,7156,12	// Broken Shuriken
IG_BlueBox,7157,12	// Dark Mask
IG_BlueBox,7158,12	// Broken Liquor Jar
IG_BlueBox,7159,12	// Tengu Nose
IG_BlueBox,7161,12	// Black Bear Skin
IG_BlueBox,7162,12	// Cloud Crumb
IG_BlueBox,7163,12	// Hard Feeler
IG_BlueBox,7164,12	// Solid_Peach
IG_BlueBox,7165,12	// Transparent Celestial Robe
IG_BlueBox,7166,12	// Soft Silk
IG_BlueBox,7167,12	// Strange Steel Piece
IG_BlueBox,7168,12	// Giant Butterfly Wing
IG_BlueBox,7169,12	// Ba_Gua
IG_BlueBox,7171,12	// Leopard Skin
IG_BlueBox,7172,12	// Leopard Claw
IG_BlueBox,7174,12	// Wrapping Lace
IG_BlueBox,7175,12	// Wrapping Paper
IG_BlueBox,7182,12	// Cacao
IG_BlueBox,7186,12	// Thin Trunk
IG_BlueBox,7187,12	// Festival Mask
IG_BlueBox,7188,12	// Brown_Root
IG_BlueBox,7189,12	// Wooden Heart
IG_BlueBox,7190,12	// Solid Husk
IG_BlueBox,7191,12	// Lamp
IG_BlueBox,7192,12	// Vane
IG_BlueBox,7193,12	// Sprout
IG_BlueBox,7194,12	// Soft Blade of Grass
IG_BlueBox,7195,12	// Slingshot
IG_BlueBox,7196,12	// Shoulder Protector
IG_BlueBox,7197,12	// Tough Vines
IG_BlueBox,7198,12	// Huge Leaf
IG_BlueBox,7200,12	// Elastic Band
IG_BlueBox,7201,12	// Log
IG_BlueBox,7202,12	// Pincher of Beetle
IG_BlueBox,7203,12	// Strong Branch
IG_BlueBox,7205,12	// Piece of Black Cloth
IG_BlueBox,7206,12	// Black Cat Doll
IG_BlueBox,7207,12	// Old Manteau
IG_BlueBox,7208,12	// Rusty Kitchen Knife
IG_BlueBox,7209,12	// Helm of Dullahan
IG_BlueBox,7210,12	// Armor Piece of Dullahan
IG_BlueBox,7211,12	// Fragment of Rossata Stone
IG_BlueBox,7212,12	// Hung Doll
IG_BlueBox,7213,12	// Needle Packet
IG_BlueBox,7214,12	// Bat Cage
IG_BlueBox,7215,12	// Broken Needle
IG_BlueBox,7216,12	// Red Muffler
IG_BlueBox,7217,12	// Spool
IG_BlueBox,7218,12	// Decomposed Rope
IG_BlueBox,7219,12	// Striped Sock
IG_BlueBox,7220,12	// Ectoplasm
IG_BlueBox,7221,12	// Tangled Chains
IG_BlueBox,7222,12	// Wooden Gnarl
IG_BlueBox,7223,12	// Contorted Self-Portrait
IG_BlueBox,7225,12	// Pumpkin Lantern
IG_BlueBox,7262,12	// Folding Fan of Cat Ghost
IG_BlueBox,7263,12	// Cat's Eye
IG_BlueBox,7264,12	// Dry Sand
IG_BlueBox,7265,12	// Dragon Horn
IG_BlueBox,7266,12	// Denture from Dragon Mask
IG_BlueBox,7267,12	// Tiger Panty
IG_BlueBox,7268,12	// Little Ghost Doll
IG_BlueBox,7269,12	// Pinafore
IG_BlueBox,7270,12	// Nursing_Bottle
IG_BlueBox,7315,1	// Dark Crystal Fragment
IG_BlueBox,7316,1	// Insect Leg
IG_BlueBox,7317,1	// Rusty Screw
IG_BlueBox,7318,1	// Old Pick
IG_BlueBox,7319,1	// Used Iron Plate
IG_BlueBox,7320,1	// Dust Pollutant
IG_BlueBox,7321,1	// Crystal Fragment
IG_BlueBox,7322,1	// Toxic Gas
IG_BlueBox,7323,1	// Battered Kettle
IG_BlueBox,7325,1	// Flexible Tube
IG_BlueBox,7326,1	// Fluorescent Liquid
IG_BlueBox,7327,1	// Flashlight
IG_BlueBox,7440,1	// Red Feather
IG_BlueBox,7441,1	// Blue Feather
IG_BlueBox,7442,1	// Cursed Seal
IG_BlueBox,7443,1	// Three-Headed Dragon's Head
IG_BlueBox,7444,1	// Treasure Box
IG_BlueBox,7445,1	// Green Bijou
IG_BlueBox,7446,1	// Blue Bijou
IG_BlueBox,7447,1	// Red Bijou
IG_BlueBox,7448,1	// Yellow Bijou
IG_BlueBox,7449,1	// Bloody Page
IG_BlueBox,7450,1	// Skeletal Armor Piece
IG_BlueBox,7451,1	// Fire Dragon Scale
IG_BlueBox,7452,1	// Yellow Spice
IG_BlueBox,7453,1	// Sweet Sauce
IG_BlueBox,7454,1	// Savory Sauce
IG_BlueBox,7455,1	// Spicy Sauce
IG_BlueBox,7456,1	// Red Spice
IG_BlueBox,7457,1	// Cooking Oil
IG_BlueBox,7472,1	// Level 1 Cookbook
IG_BlueBox,7473,1	// Level 2 Cookbook
IG_BlueBox,7474,1	// Level 3 Cookbook
IG_BlueBox,7475,1	// Level 4 Cookbook
IG_BlueBox,7476,1	// Level 5 Cookbook
IG_BlueBox,7482,1	// Pot
IG_BlueBox,7512,1	// Burnt Part
IG_BlueBox,7513,1	// Pocket Watch
IG_BlueBox,7561,15	// Glacial Heart
IG_BlueBox,7562,15	// Ice Scale
IG_BlueBox,7563,15	// Bloody Rune
IG_BlueBox,7564,15	// Rotten Meat
IG_BlueBox,7565,15	// Sticky Poison
IG_BlueBox,7567,1	// Suspicious Hat
IG_BlueBox,7568,1	// White Mask
IG_BlueBox,7751,34	// Old White Cloth
IG_BlueBox,7752,32	// Clattering Skull
IG_BlueBox,7753,34	// Broken Farming Utensil
IG_BlueBox,10001,3	// Skull Helm
IG_BlueBox,10002,3	// Monster Oxygen Mask
IG_BlueBox,10003,3	// Transparent Headgear
IG_BlueBox,10004,3	// Pacifier
IG_BlueBox,10005,3	// Wig
IG_BlueBox,10006,3	// Queen's Hair Ornament
IG_BlueBox,10007,3	// Silk Ribbon
IG_BlueBox,10008,3	// Punisher
IG_BlueBox,10009,3	// Wild Flower
IG_BlueBox,10010,3	// Battered Pot
IG_BlueBox,10011,3	// Stellar Hairpin
IG_BlueBox,10012,3	// Tiny Egg Shell
IG_BlueBox,10013,3	// Backpack
IG_BlueBox,10014,3	// Rocker Glasses
IG_BlueBox,10015,3	// Green Lace
IG_BlueBox,10016,3	// Golden Bell
IG_BlueBox,10017,3	// Bark Shorts
IG_BlueBox,10018,3	// Monkey Circlet
IG_BlueBox,10019,3	// Red Scarf
IG_BlueBox,10020,3	// Grave Keeper's Sword
IG_BlueBox,13000,1	// Jujube Dagger
IG_BlueBox,13001,1	// Dragon Killer
IG_BlueBox,13002,1	// Ginnungagap
IG_BlueBox,13003,1	// Cowardice Blade
IG_BlueBox,13004,1	// Cowardice Blade
IG_BlueBox,13163,1	// Long Barrel
IG_BlueBox,13164,1	// Long Barrel
IG_BlueBox,13167,1	// Gate Keeper-DD
IG_BlueBox,13168,1	// Thunder P
IG_BlueBox,13170,2	// Lever Action Rifle
IG_BlueBox,13200,1	// Bullet
IG_BlueBox,13201,1	// Silver Bullet
IG_BlueBox,13202,1	// Bloody Shell
IG_BlueBox,13203,1	// Flare Sphere
IG_BlueBox,13204,1	// Lightning Sphere
IG_BlueBox,13205,1	// Poison Sphere
IG_BlueBox,13206,1	// Blind Sphere
IG_BlueBox,13207,1	// Freezing Sphere
IG_BlueBox,13304,1	// Huuma Calm Mind
