// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// Red Potion
IG_VioletBox,2622,1	// Earring
IG_VioletBox,2623,1	// Necklace
IG_VioletBox,2624,1	// Glove
IG_VioletBox,2625,1	// Brooch
IG_VioletBox,2626,1	// Rosary
IG_VioletBox,2627,7	// Belt
IG_VioletBox,2628,7	// Novice Armlet
IG_VioletBox,2652,1	// Goddess of Fortune's Cursed Brooch
IG_VioletBox,2654,1	// Shinobi Sash
IG_VioletBox,2655,1	// Bloodied Shackle Ball
IG_VioletBox,2656,1	// Armor Charm
IG_VioletBox,5002,1	// Jewel Crown
IG_VioletBox,5003,7	// Joker Jester
IG_VioletBox,5005,7	// Gas Mask
IG_VioletBox,5006,7	// Machoman's Glasses
IG_VioletBox,5007,1	// Grand Circlet
IG_VioletBox,5009,7	// Safety Helmet
IG_VioletBox,5010,7	// Indian Fillet
IG_VioletBox,5011,7	// Aerial
IG_VioletBox,5014,7	// Fin Helm
IG_VioletBox,5015,7	// Egg Shell
IG_VioletBox,5017,1	// Bone Helm
IG_VioletBox,5030,7	// Panda Hat
IG_VioletBox,5035,7	// Poring Hat
IG_VioletBox,5037,7	// Nutshell
IG_VioletBox,5053,1	// Sphinx Hat
IG_VioletBox,5055,7	// Novice False Eggshell
IG_VioletBox,5066,1	// Succubus Horn
IG_VioletBox,5072,1	// Incubus Horn
IG_VioletBox,5085,1	// Small Ribbons
IG_VioletBox,5088,7	// Surprised Mask
IG_VioletBox,5089,7	// Annoyed Mask
IG_VioletBox,5090,7	// Goblin Leader Mask
IG_VioletBox,5111,1	// Galapago Cap
IG_VioletBox,5113,1	// Angry Snarl
IG_VioletBox,5116,1	// Banana Hat
IG_VioletBox,5118,1	// Puppy Headband
IG_VioletBox,5119,1	// Super Novice Hat
IG_VioletBox,5120,1	// Bucket Hat
IG_VioletBox,7001,14	// Mould Powder
IG_VioletBox,7002,14	// Ogre Tooth
IG_VioletBox,7003,14	// Anolian Skin
IG_VioletBox,7004,14	// Mud Lump
IG_VioletBox,7005,14	// Skull
IG_VioletBox,7006,14	// Wing of Red Bat
IG_VioletBox,7007,14	// Claw of Rat
IG_VioletBox,7008,14	// Stiff Horn
IG_VioletBox,7009,14	// Glitter Shell
IG_VioletBox,7010,14	// Tail of Steel Scorpion
IG_VioletBox,7011,14	// Claw of Monkey
IG_VioletBox,7012,14	// Tough Scalelike Stem
IG_VioletBox,7013,14	// Coral Reef
IG_VioletBox,7014,14	// Old Portrait
IG_VioletBox,7015,14	// Memory Bookmark
IG_VioletBox,7016,14	// Bent Spoon
IG_VioletBox,7026,14	// Key of the Clock Tower
IG_VioletBox,7027,14	// Key of the Underground
IG_VioletBox,7030,14	// Claw of Desert Wolf
IG_VioletBox,7031,14	// Old Frying Pan
IG_VioletBox,7032,14	// Piece of Egg Shell
IG_VioletBox,7033,14	// Poison Spore
IG_VioletBox,7034,14	// Red Stocking
IG_VioletBox,7035,14	// Matchstick
IG_VioletBox,7036,14	// Fang of Garm
IG_VioletBox,7038,14	// Yarn
IG_VioletBox,7041,14	// Fine Grit
IG_VioletBox,7047,14	// Alice's Apron
IG_VioletBox,7048,14	// Talon of Griffon
IG_VioletBox,7049,14	// Stone
IG_VioletBox,7053,14	// Cyfar
IG_VioletBox,7054,14	// Brigan
IG_VioletBox,7059,14	// Free Ticket for Kafra Storage
IG_VioletBox,7060,14	// Free Ticket for Kafra Transportation
IG_VioletBox,7061,14	// Free Ticket for the Cart Service
IG_VioletBox,7063,14	// Soft Feather
IG_VioletBox,7064,14	// Wing of Dragonfly
IG_VioletBox,7065,14	// Sea-Otter Fur
IG_VioletBox,7066,14	// Ice Cubic
IG_VioletBox,7067,14	// Stone Fragment
IG_VioletBox,7068,14	// Burnt Tree
IG_VioletBox,7069,14	// Destroyed Armor
IG_VioletBox,7070,14	// Broken Shell
IG_VioletBox,7071,14	// Tattered Clothes
IG_VioletBox,7072,14	// Old Shuriken
IG_VioletBox,7093,14	// Cogwheel
IG_VioletBox,7094,14	// Fragment
IG_VioletBox,7095,14	// Metal Fragment
IG_VioletBox,7096,14	// Lava
IG_VioletBox,7097,14	// Burning Heart
IG_VioletBox,7098,14	// Live Coal
IG_VioletBox,7099,14	// Worn-out Magic Scroll
IG_VioletBox,7100,14	// Sharp Leaf
IG_VioletBox,7101,14	// Peco Peco Feather
IG_VioletBox,7106,14	// Antelope Horn
IG_VioletBox,7107,14	// Antelope Skin
IG_VioletBox,7108,14	// Piece of Shield
IG_VioletBox,7109,14	// Shining Spear Blade
IG_VioletBox,7110,14	// Broken Sword
IG_VioletBox,7111,14	// Slick Paper
IG_VioletBox,7112,14	// Sharp Paper
IG_VioletBox,7113,14	// Broken Pharaoh Emblem
IG_VioletBox,7114,14	// Masque of Tutankhamen
IG_VioletBox,7115,14	// Harpy Feather
IG_VioletBox,7116,14	// Harpy Talon
IG_VioletBox,7117,14	// Torn Magic Book
IG_VioletBox,7118,14	// Torn Scroll
IG_VioletBox,7119,14	// Bacillus
IG_VioletBox,7120,14	// Burning Horseshoe
IG_VioletBox,7121,14	// Honey Pot
IG_VioletBox,7122,14	// Burning Hair
IG_VioletBox,7123,14	// Dragon Skin
IG_VioletBox,7124,14	// Sand Clump
IG_VioletBox,7125,14	// Scorpion Claw
IG_VioletBox,7126,14	// Large Jellopy
IG_VioletBox,7134,14	// Medicine Bowl
IG_VioletBox,7135,14	// Fire Bottle
IG_VioletBox,7136,14	// Acid Bottle
IG_VioletBox,7137,14	// Plant Bottle
IG_VioletBox,7138,14	// Marine Sphere Bottle
IG_VioletBox,7139,14	// Glistening Coat
IG_VioletBox,7149,14	// Yellow Plate
IG_VioletBox,7150,14	// Piece of Bamboo
IG_VioletBox,7151,14	// Oil Paper
IG_VioletBox,7152,14	// Glossy Hair
IG_VioletBox,7153,14	// Worn-out Kimono
IG_VioletBox,7154,14	// Poisonous Powder
IG_VioletBox,7155,14	// Poisonous Toad Skin
IG_VioletBox,7156,14	// Broken Shuriken
IG_VioletBox,7157,14	// Dark Mask
IG_VioletBox,7158,14	// Broken Liquor Jar
IG_VioletBox,7159,14	// Tengu Nose
IG_VioletBox,7161,14	// Black Bear Skin
IG_VioletBox,7162,14	// Cloud Crumb
IG_VioletBox,7163,14	// Hard Feeler
IG_VioletBox,7164,14	// Solid_Peach
IG_VioletBox,7165,14	// Transparent Celestial Robe
IG_VioletBox,7166,14	// Soft Silk
IG_VioletBox,7167,14	// Strange Steel Piece
IG_VioletBox,7168,14	// Giant Butterfly Wing
IG_VioletBox,7169,14	// Ba_Gua
IG_VioletBox,7171,14	// Leopard Skin
IG_VioletBox,7172,14	// Leopard Claw
IG_VioletBox,7174,14	// Wrapping Lace
IG_VioletBox,7175,14	// Wrapping Paper
IG_VioletBox,7182,14	// Cacao
IG_VioletBox,7186,14	// Thin Trunk
IG_VioletBox,7187,14	// Festival Mask
IG_VioletBox,7188,14	// Brown_Root
IG_VioletBox,7189,14	// Wooden Heart
IG_VioletBox,7190,14	// Solid Husk
IG_VioletBox,7191,14	// Lamp
IG_VioletBox,7192,14	// Vane
IG_VioletBox,7193,14	// Sprout
IG_VioletBox,7194,14	// Soft Blade of Grass
IG_VioletBox,7195,14	// Slingshot
IG_VioletBox,7196,14	// Shoulder Protector
IG_VioletBox,7197,14	// Tough Vines
IG_VioletBox,7198,14	// Huge Leaf
IG_VioletBox,7200,14	// Elastic Band
IG_VioletBox,7201,14	// Log
IG_VioletBox,7202,14	// Pincher of Beetle
IG_VioletBox,7203,14	// Strong Branch
IG_VioletBox,7205,14	// Piece of Black Cloth
IG_VioletBox,7206,14	// Black Cat Doll
IG_VioletBox,7207,14	// Old Manteau
IG_VioletBox,7208,14	// Rusty Kitchen Knife
IG_VioletBox,7209,14	// Helm of Dullahan
IG_VioletBox,7210,14	// Armor Piece of Dullahan
IG_VioletBox,7211,14	// Fragment of Rossata Stone
IG_VioletBox,7212,14	// Hung Doll
IG_VioletBox,7213,14	// Needle Packet
IG_VioletBox,7214,14	// Bat Cage
IG_VioletBox,7215,14	// Broken Needle
IG_VioletBox,7216,14	// Red Muffler
IG_VioletBox,7217,14	// Spool
IG_VioletBox,7218,14	// Decomposed Rope
IG_VioletBox,7219,14	// Striped Sock
IG_VioletBox,7220,14	// Ectoplasm
IG_VioletBox,7221,14	// Tangled Chains
IG_VioletBox,7222,14	// Wooden Gnarl
IG_VioletBox,7223,14	// Contorted Self-Portrait
IG_VioletBox,7225,14	// Pumpkin Lantern
IG_VioletBox,7262,14	// Folding Fan of Cat Ghost
IG_VioletBox,7263,14	// Cat's Eye
IG_VioletBox,7264,14	// Dry Sand
IG_VioletBox,7265,14	// Dragon Horn
IG_VioletBox,7266,14	// Denture from Dragon Mask
IG_VioletBox,7267,14	// Tiger Panty
IG_VioletBox,7268,14	// Little Ghost Doll
IG_VioletBox,7269,14	// Pinafore
IG_VioletBox,7270,14	// Nursing_Bottle
IG_VioletBox,7315,1	// Dark Crystal Fragment
IG_VioletBox,7316,1	// Insect Leg
IG_VioletBox,7317,1	// Rusty Screw
IG_VioletBox,7318,1	// Old Pick
IG_VioletBox,7319,1	// Used Iron Plate
IG_VioletBox,7320,1	// Dust Pollutant
IG_VioletBox,7321,1	// Crystal Fragment
IG_VioletBox,7322,1	// Toxic Gas
IG_VioletBox,7323,1	// Battered Kettle
IG_VioletBox,7325,1	// Flexible Tube
IG_VioletBox,7326,1	// Fluorescent Liquid
IG_VioletBox,7327,1	// Flashlight
IG_VioletBox,7436,1	// Fragment of Agony
IG_VioletBox,7437,1	// Fragment of Misery
IG_VioletBox,7438,1	// Fragment of Hatred
IG_VioletBox,7439,1	// Fragment of Despair
IG_VioletBox,7440,1	// Red Feather
IG_VioletBox,7441,1	// Blue Feather
IG_VioletBox,7442,1	// Cursed Seal
IG_VioletBox,7443,1	// Three-Headed Dragon's Head
IG_VioletBox,7444,1	// Treasure Box
IG_VioletBox,7445,1	// Green Bijou
IG_VioletBox,7446,1	// Blue Bijou
IG_VioletBox,7447,1	// Red Bijou
IG_VioletBox,7448,1	// Yellow Bijou
IG_VioletBox,7449,1	// Bloody Page
IG_VioletBox,7450,1	// Skeletal Armor Piece
IG_VioletBox,7451,1	// Fire Dragon Scale
IG_VioletBox,7452,1	// Yellow Spice
IG_VioletBox,7453,1	// Sweet Sauce
IG_VioletBox,7454,1	// Savory Sauce
IG_VioletBox,7455,1	// Spicy Sauce
IG_VioletBox,7456,1	// Red Spice
IG_VioletBox,7457,1	// Cooking Oil
IG_VioletBox,7472,1	// Level 1 Cookbook
IG_VioletBox,7473,1	// Level 2 Cookbook
IG_VioletBox,7474,1	// Level 3 Cookbook
IG_VioletBox,7475,1	// Level 4 Cookbook
IG_VioletBox,7476,1	// Level 5 Cookbook
IG_VioletBox,7477,1	// Level 6 Cookbook
IG_VioletBox,7478,1	// Level 7 Cookbook
IG_VioletBox,7479,1	// Level 8 Cookbook
IG_VioletBox,7480,1	// Level 9 Cookbook
IG_VioletBox,7481,1	// Level 10 Cookbook
IG_VioletBox,7482,1	// Pot
IG_VioletBox,7512,1	// Burnt Part
IG_VioletBox,7513,1	// Pocket Watch
IG_VioletBox,7561,1	// Glacial Heart
IG_VioletBox,7562,1	// Ice Scale
IG_VioletBox,7563,1	// Bloody Rune
IG_VioletBox,7564,1	// Rotten Meat
IG_VioletBox,7565,1	// Sticky Poison
IG_VioletBox,7567,1	// Suspicious Hat
IG_VioletBox,7568,1	// White Mask
IG_VioletBox,7751,17	// Old White Cloth
IG_VioletBox,7752,16	// Clattering Skull
IG_VioletBox,7753,17	// Broken Farming Utensil
IG_VioletBox,10001,7	// Skull Helm
IG_VioletBox,10002,7	// Monster Oxygen Mask
IG_VioletBox,10003,7	// Transparent Headgear
IG_VioletBox,10004,7	// Pacifier
IG_VioletBox,10005,7	// Wig
IG_VioletBox,10006,7	// Queen's Hair Ornament
IG_VioletBox,10007,7	// Silk Ribbon
IG_VioletBox,10008,7	// Punisher
IG_VioletBox,10009,7	// Wild Flower
IG_VioletBox,10010,7	// Battered Pot
IG_VioletBox,10011,7	// Stellar Hairpin
IG_VioletBox,10012,7	// Tiny Egg Shell
IG_VioletBox,10013,7	// Backpack
IG_VioletBox,10014,7	// Rocker Glasses
IG_VioletBox,10015,7	// Green Lace
IG_VioletBox,10016,7	// Golden Bell
IG_VioletBox,10017,7	// Bark Shorts
IG_VioletBox,10018,7	// Monkey Circlet
IG_VioletBox,10019,7	// Red Scarf
IG_VioletBox,10020,7	// Grave Keeper's Sword
IG_VioletBox,13001,1	// Dragon Killer
IG_VioletBox,13002,1	// Ginnungagap
IG_VioletBox,13004,1	// Cowardice Blade
IG_VioletBox,13163,1	// Long Barrel
IG_VioletBox,13164,1	// Long Barrel
IG_VioletBox,13167,1	// Gate Keeper-DD
IG_VioletBox,13168,1	// Thunder P
IG_VioletBox,13170,2	// Lever Action Rifle
IG_VioletBox,13200,1	// Bullet
IG_VioletBox,13201,1	// Silver Bullet
IG_VioletBox,13202,1	// Bloody Shell
IG_VioletBox,13203,1	// Flare Sphere
IG_VioletBox,13204,1	// Lightning Sphere
IG_VioletBox,13205,1	// Poison Sphere
IG_VioletBox,13206,1	// Blind Sphere
IG_VioletBox,13207,1	// Freezing Sphere
IG_VioletBox,13304,1	// Huuma Calm Mind
