// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,499,100	// White_Slim_Potion
7876,8,100	// Gold_Key
7877,8,100	// Red_Ring
7878,8,100	// Lusalka_Hair
7879,8,100	// Golden_Thread
7880,8,100	// Babayaga_Silver_Spoon
7881,8,100	// Book_Of_Magic
7882,8,100	// Pointed_Branch
7883,8,100	// Pointed_Wooden_Flute
7884,32,100	// Jade_Plate
7885,32,100	// Sacred_Arrow
7895,8,100	// TRO_Memory_Book01
7896,8,100	// TRO_Memory_Book02
7897,8,100	// TRO_Memory_Book03
7898,8,100	// VVS_Balmung
7899,8,100	// Spiritualist_Dagger
7907,8,100	// Bobbin_Of_Goddess
7909,8,100	// Stolen_Cookie
7910,8,100	// Stolen_Candy
7923,8,100	// KRATHONG_
7945,32,100	// Almighty_Charm
7949,8,100	// Woven_Wool
7950,8,100	// Ayothaya_Ticket
7951,8,100	// Gold_Tulip
7954,8,100	// Festival_Ticket_
7959,506,100	// Ancient_Gold_Coin
7960,506,100	// Ancient_Silver_Coin
7961,8,100	// Weapon_Exchange
7962,8,100	// Treasure_Map1
7963,8,100	// Treasure_Map2
7964,8,100	// Treasure_Map3
7965,8,100	// Treasure_Map4
7966,8,100	// Weird_Parchment1
7967,8,100	// Weird_Parchment2
7968,8,100	// Weird_Parchment3
7969,8,100	// Weird_Parchment4
9028,506,100	// Rice_Cake_Egg
9058,40,100	// Snow_Rabbit_Egg
11011,8,100	// Barmund_Note
11012,8,100	// Expedition_Report
11013,8,100	// Expedition_Report_Vol1
11014,8,100	// Expedition_Report_Vol2
11015,8,100	// Expedition_Report_Vol3
11016,8,100	// Expedition_Report_Vol4
11500,32,100	// Light_Yellow_Pot
11501,32,100	// Light_White_Pot
11502,32,100	// Light_Blue_Pot
11503,32,100	// Siege_White_Potion
11504,32,100	// Siege_Blue_Potion
11514,32,100	// Enriched_Slim_Pot
11551,8,100	// Savory_Herb_Salad
11552,8,100	// Apple_Carrot_Salad
11553,8,100	// Casual_Stew
11554,8,100	// Golden_Roasted_Apple
11565,32,100	// White_Potion
11566,32,100	// Yellow_Potion
11567,32,100	// Novice_Potion
11568,32,100	// Red_Slim_Potion
11569,32,100	// Orange_Potion
11570,32,100	// Red_Potion
11571,32,100	// Green_Potion
11572,32,100	// Blue_Potion
11573,32,100	// White_Slim_Potion
11574,32,100	// Yellow_Slim_Potion
11575,32,100	// Lucky_Cookie
11576,32,100	// Lucky_Lollipop
11577,32,100	// Rice_Ball
11578,32,100	// Candy_Bar
11579,32,100	// Lucky_Candy
11580,32,100	// Candy
11581,32,100	// Piece_of_Cake
11582,32,100	// Well-baked_Cookie
11583,32,100	// Chocolate_Drink
11584,32,100	// White_Chocolate
11585,32,100	// Hand-made_Chocolate
11586,32,100	// Hand-made_Chocolate_
11587,32,100	// Chocolate
12142,1,100	// Magic_Book
12153,8,100	// Bow_Mercenary_Scroll1
12154,8,100	// Bow_Mercenary_Scroll2
12155,8,100	// Bow_Mercenary_Scroll3
12156,8,100	// Bow_Mercenary_Scroll4
12157,8,100	// Bow_Mercenary_Scroll5
12158,8,100	// Bow_Mercenary_Scroll6
12159,8,100	// Bow_Mercenary_Scroll7
12160,8,100	// Bow_Mercenary_Scroll8
12161,8,100	// Bow_Mercenary_Scroll9
12162,8,100	// Bow_Mercenary_Scroll10
12163,8,100	// SwordMercenary_Scroll1
12164,8,100	// SwordMercenary_Scroll2
12165,8,100	// SwordMercenary_Scroll3
12166,8,100	// SwordMercenary_Scroll4
12167,8,100	// SwordMercenary_Scroll5
12168,8,100	// SwordMercenary_Scroll6
12169,8,100	// SwordMercenary_Scroll7
12170,8,100	// SwordMercenary_Scroll8
12171,8,100	// SwordMercenary_Scroll9
12172,8,100	// SwordMercenary_Scroll10
12173,8,100	// SpearMercenary_Scroll1
12174,8,100	// SpearMercenary_Scroll2
12175,8,100	// SpearMercenary_Scroll3
12176,8,100	// SpearMercenary_Scroll4
12177,8,100	// SpearMercenary_Scroll5
12178,8,100	// SpearMercenary_Scroll6
12179,8,100	// SpearMercenary_Scroll7
12180,8,100	// SpearMercenary_Scroll8
12181,8,100	// SpearMercenary_Scroll9
12182,8,100	// SpearMercenary_Scroll10
12202,32,100	// Str_Dish10_
12203,32,100	// Agi_Dish10_
12204,32,100	// Int_Dish10_
12205,32,100	// Dex_Dish10_
12206,32,100	// Luk_Dish10_
12207,32,100	// Vit_Dish10_
12208,32,100	// Battle_Manual
12209,32,100	// Insurance
12210,32,100	// Bubble_Gum
12211,32,100	// Kafra_Card
12212,32,100	// Giant_Fly_Wing
12213,32,100	// Neuralizer
12214,32,100	// Convex_Mirror
12215,32,100	// Blessing_10_Scroll
12216,32,100	// Inc_Agi_10_Scroll
12217,32,100	// Aspersio_5_Scroll
12218,32,100	// Assumptio_5_Scroll
12219,32,100	// Wind_Walk_10_Scroll
12220,32,100	// Adrenaline_Scroll
12221,32,100	// Megaphone_
12238,40,100	// New_Year_Rice_Cake_1
12239,40,100	// New_Year_Rice_Cake_2
12258,8,100	// Bombring_Box
12264,32,100	// Comp_Bubble_Gum
12265,32,100	// Comp_Insurance
12269,40,100	// Tasty_Colonel
12270,40,100	// Tasty_Major
12271,40,100	// Mre_A
12272,40,100	// Mre_B
12273,40,100	// Mre_C
12276,32,100	// Mimic_Scroll
12277,32,100	// Disguise_Scroll
12278,32,100	// Alice_Scroll
12300,8,100	// Wild_Rose_Scroll
12301,8,100	// Doppelganger_Scroll
12302,8,100	// Ygnizem_Scroll
12303,32,100	// Water_Of_Blessing
12310,40,100	// Spray_Of_Flowers
12311,40,100	// Large_Spray_Of_Flowers
12313,8,100	// Protection_Of_Angel
12314,32,100	// Noive_Box
12319,40,100	// Strawberry_Cake
12320,40,100	// Pineapple_Juice
12321,40,100	// Spicy_Sandwich
12322,8,100	// Chocolate_Pie
12323,8,100	// N_Fly_Wing
12324,8,100	// N_Butterfly_Wing
12325,8,100	// N_Magnifier
12332,40,100	// Fruit_Juice
12340,8,100	// Mysterious_Rice_Powder
12361,32,100	// Delicious_Shaved_Ice
12363,32,100	// Fit_Pipe
12370,32,100	// Gril's_Naivety
12384,8,100	// Rainbow_Ruby_Water
12385,8,100	// Rainbow_Ruby_Fire
12386,8,100	// Rainbow_Ruby_Wind
12387,8,100	// Rainbow_Ruby_Earth
12391,32,100	// Lucky_Egg_C
12402,32,100	// 29Fruit
12403,32,100	// Lucky_Egg_C2
12404,32,100	// Acti_Potion
12405,32,100	// Underripe_Yggseed
12406,32,100	// Psychic_ArmorS
12407,32,100	// PCBang_Coupon_Box
12413,32,100	// PCBang_Coupon_Box2
12415,32,100	// Siege_Teleport_Scroll2
12416,32,100	// Lucky_Egg_C3
12473,40,100	// RWC_Parti_Box
12474,40,100	// RWC_Final_Comp_Box
12476,32,100	// PCBang_Coupon_Box3
12480,32,100	// Attend_3Day_Box
12481,32,100	// Attend_7Day_Box
12482,32,100	// Attend_10Day_Box
12483,32,100	// Attend_15Day_Box
12484,32,100	// Attend_20Day_Box
12485,32,100	// Attend_25Day_Box
12486,32,100	// GoldPC_First_Box
12487,32,100	// PC_4Leaf_Clover_Box
12488,32,100	// Ticket_Gift_Box
12489,32,100	// Ticket_Gift_Box2
12492,32,100	// Crumpled_Paper
12493,32,100	// Lucky_Egg_C4
12497,32,100	// E_Bubble_Gum
12501,32,100	// E_Str_Dish10_
12502,32,100	// E_Agi_Dish10_
12503,32,100	// E_Int_Dish10_
12504,32,100	// E_Dex_Dish10_
12505,32,100	// E_Luk_Dish10_
12506,32,100	// E_Vit_Dish10_
12507,32,100	// E_WOB_Rune
12508,32,100	// E_WOB_Schwaltz
12509,32,100	// E_WOB_Rachel
12510,32,100	// E_WOB_Local
12514,32,100	// E_Abrasive
12516,32,100	// E_Small_Life_Potion
12522,32,100	// E_Blessing_10_Scroll
12523,32,100	// E_Inc_Agi_10_Scroll
12529,32,100	// White_Slim_Potion_Box
12530,32,100	// Mastela_Fruit_Box
12531,32,100	// White_Potion_Box
12532,32,100	// Royal_Jelly_Box2
12533,32,100	// Blue_Herb_Box2
12534,32,100	// Yggdrasil_Seed_Box
12535,32,100	// Iggdrasilberry_Box
12540,8,100	// GM_Warp_Box
12541,8,100	// Fortune_Cookie1
12542,8,100	// Fortune_Cookie2
12543,8,100	// Fortune_Cookie3
12545,32,100	// Lucky_Egg_C5
12549,32,100	// White_Slim_Pot_Box2
12550,32,100	// Poison_Bottle_Box2
12577,32,100	// Lucky_Egg_C6
12578,32,100	// Rapid_Life_Water
12581,32,100	// Vending_Search_Scroll2
12591,32,100	// Uni_Catalog_Bz
12595,32,100	// Lucky_Egg_C7
12596,32,100	// Magic_Candy
//12610,32,100	//
12625,32,100	// Sapa_Feat_Cert_Pack
12633,32,100	// Malang_Cat_Can
12636,40,100	// Malang_Sp_Can
12637,32,100	// Gong_Bug_Pocket
12638,32,100	// Dried_Squid_Box
12639,32,100	// Flying_Fish_Box
12640,32,100	// Starfish_Box
12641,32,100	// Lucky_Egg_C8
12642,32,100	// Fruit_Of_Mastela_Box2
12644,32,100	// PCBang_Coupon_Box4
12645,32,100	// J_Aspersio_5_Scroll_C
12654,32,100	// Lucky_Egg_C9
12658,32,100	// Trans_Scroll_Devi
12659,32,100	// Trans_Scroll_Ray_Arch
12660,32,100	// Trans_Scroll_Mavka
12661,32,100	// Trans_Scroll_Marduk
12662,32,100	// Trans_Scroll_Banshee
12663,32,100	// Trans_Scroll_Poring
12664,32,100	// Trans_Scroll_Golem
12672,8,100	// Start_New_Box
12673,32,100	// Lucky_Egg_C10
12684,32,100	// ASPD_Potion
12685,32,100	// Gryphon_Egg_Scroll
12702,41,100	// Old_Bleu_Box
12704,32,100	// Elixir_Of_Life
12705,32,100	// Noble_Nameplate
12714,40,100	// Easter_Scroll
12725,32,100	// Runstone_Nosiege
12726,32,100	// Runstone_Rhydo
12727,32,100	// Runstone_Verkana
12728,32,100	// Runstone_Isia
12729,32,100	// Runstone_Asir
12730,32,100	// Runstone_Urj
12731,32,100	// Runstone_Turisus
12732,32,100	// Runstone_Pertz
12733,32,100	// Runstone_Hagalas
12785,32,100	// Dragon_Egg_Scroll
12786,32,100	// Change_Slot_Card
12790,32,100	// Change_Name_Card
12795,32,100	// 2011_RWC_Scroll_Kr
12796,32,100	// Red_Booster
12799,32,100	// PCBang_Coupon_Box5
12802,32,100	// Time_Guardian_Box
12804,32,100	// Cru_Scroll
12805,32,100	// Mystic_Powder
12811,32,100	// Event_Gift_Box_
//12825,32,100	//
//12830,32,100	//
12831,32,100	// Potion_Box
//12832,32,100	//
//12833,32,100	//
12834,32,100	// Undead_Egg
12835,32,100	// Girls_Heart
12845,8,100	// WOB_Amatsu
//12854,40,100	//
//12855,32,100	//
//12871,32,100	//
//12872,32,100	//
//12873,32,100	//
12883,32,100	// Almighty
12900,32,100	// Battle_Manual_Box
12901,32,100	// Insurance_Package
12902,32,100	// Bubble_Gum_Box
12903,32,100	// Str_Dish_Box
12904,32,100	// Agi_Dish_Box
12905,32,100	// Int_Dish_Box
12906,32,100	// Dex_Dish_Box
12907,32,100	// Luk_Dish_Box
12908,32,100	// Vit_Dish_Box
12909,32,100	// Kafra_Card_Box
12910,32,100	// Giant_Fly_Wing_Box
12911,32,100	// Neuralizer_Box
12912,32,100	// Convex_Mirror_Box
12913,32,100	// Blessing_10_Scroll_Box
12914,32,100	// Inc_Agi_10_Scroll_Box
12915,32,100	// Aspersio_5_Scroll_Box
12916,32,100	// Assumptio_5_Scroll_Box
12917,32,100	// Wind_Walk_10_Scroll_Box
12918,32,100	// Adrenaline_Scroll_Box
12919,32,100	// Megaphone_Box
12920,32,100	// Enriched_Elunium_Box
12921,32,100	// Enriched_Oridecon_Box
12922,32,100	// Token_Of_Siegfried_Box
12927,32,100	// J_Aspersio_5_Scroll_Box
12928,32,100	// J_Aspersio_5_Scroll
12928,32,100	// J_Aspersio_5_Scroll
12929,32,100	// Pet_Egg_Scroll_Box3
12930,32,100	// Pet_Egg_Scroll_Box4
12931,32,100	// Pet_Egg_Scroll_Box5
12932,32,100	// Pet_Egg_Scroll3
12933,32,100	// Pet_Egg_Scroll4
12934,32,100	// Pet_Egg_Scroll5
12935,32,100	// Infiltrator_Box
12936,32,100	// Muramasa_Box
12937,32,100	// Excalibur_Box
12938,32,100	// Combat_Knife_Box
12939,32,100	// Counter_Dagger_Box
12940,32,100	// Kaiser_Knuckle_Box
12941,32,100	// Pole_Axe_Box
12942,32,100	// Mighty_Staff_Box
12943,32,100	// Right_Epsilon_Box
12944,32,100	// Balistar_Box
12945,32,100	// Diary_Of_Great_Sage_Box
12946,32,100	// Asura_Box
12947,32,100	// Apple_Of_Archer_Box
12948,32,100	// Bunny_Band_Box
12949,32,100	// Sahkkat_Box
12950,32,100	// Lord_Circlet_Box
12951,32,100	// Elven_Ears_Box
12952,32,100	// Steel_Flower_Box
12953,32,100	// Critical_Ring_Box
12954,32,100	// Earring_Box
12955,32,100	// Ring_Box
12956,32,100	// Necklace_Box
12957,32,100	// Glove_Box
12958,32,100	// Brooch_Box
12959,32,100	// Rosary_Box
12960,32,100	// Safety_Ring_Box
12961,32,100	// Vesper_Core01_Box
12962,32,100	// Vesper_Core02_Box
12963,32,100	// Vesper_Core03_Box
12964,32,100	// Vesper_Core04_Box
12965,32,100	// Emergency_Box1
12966,32,100	// Emergency_Box2
12967,32,100	// Emergency_Box3
12968,32,100	// Emergency_Scroll1
12969,32,100	// Emergency_Scroll2
12970,32,100	// Emergency_Scroll3
12971,32,100	// Teleport_Box1
12972,32,100	// Teleport_Box2
12973,32,100	// Teleport_Box3
12974,32,100	// Teleport_Box4
12975,32,100	// Teleport_Box5
12976,32,100	// Teleport_Box6
12977,32,100	// Teleport_Scroll1
12978,32,100	// Teleport_Scroll2
12979,32,100	// Teleport_Scroll3
12980,32,100	// Teleport_Scroll4
12981,32,100	// Teleport_Scroll5
12982,32,100	// Teleport_Scroll6
12983,32,100	// Pet_Egg_Scroll_Box6
12984,32,100	// Pet_Egg_Scroll_Box7
12985,32,100	// Pet_Egg_Scroll_Box8
12986,32,100	// Pet_Egg_Scroll_Box9
12987,32,100	// Pet_Egg_Scroll_Box10
12988,32,100	// Pet_Egg_Scroll_Box11
12989,32,100	// Pet_Egg_Scroll6
12990,32,100	// Pet_Egg_Scroll7
12991,32,100	// Pet_Egg_Scroll8
12992,32,100	// Pet_Egg_Scroll9
12993,32,100	// Pet_Egg_Scroll10
12994,32,100	// Pet_Egg_Scroll11
12995,32,100	// White_Herb_Box
12996,32,100	// Blue_Herb_Box
12997,32,100	// Elunium_Box
12998,32,100	// Oridecon_Box
12999,32,100	// Branch_Of_Dead_Tree_Box
13029,32,100	// Prinsence_Knife
13036,8,100	// BF_Dagger1
13037,8,100	// BF_Dagger2
13042,8,100	// Krieger_Dagger1
13049,506,100	// Lacma
13050,8,100	// P_Dagger1
13051,8,100	// P_Dagger2
13052,8,100	// Tourist_Dagger
13066,8,100	// P_Dagger3
13079,8,100	// Metal_Dagger
//13083,8,100	//
13108,8,100	// BF_Pistol1
13110,8,100	// Krieger_Pistol1
13112,8,100	// P_Revolver1
13113,8,100	// P_Revolver2
13114,8,100	// P_Revolver3
//13117,8,100	//
13118,8,100	// Spark_Light
13119,40,100	// Spark_Of_Freedom
13125,8,100	// Metal_Revolver
13126,40,100	// Infinity_Pistol
13171,8,100	// BF_Rifle1
13172,8,100	// BF_Gatling_Gun1
13173,8,100	// BF_Shotgun1
13174,8,100	// BF_Launcher1
13176,8,100	// Krieger_Rifle1
13177,8,100	// Krieger_Gatling1
13178,8,100	// Krieger_Shotgun1
13179,8,100	// Krieger_Launcher1
//13184,8,100	//
//13185,8,100	//
//13186,8,100	//
//13187,8,100	//
13208,32,100	// Gong_Bug
13291,32,100	// Starfish
13292,32,100	// Dried_Squid
13293,32,100	// Flying_Fish
13295,8,100	// Light_Shuriken
13305,8,100	// BF_Huuma_Shuriken1
13306,8,100	// BF_Huuma_Shuriken2
13307,8,100	// Krieger_Huuma_Shuriken1
13310,8,100	// P_Huuma_Suriken1
//13317,8,100	//
13322,8,100	// Huuma_Metal_Shuriken
13323,40,100	// Infinity_Shuriken
13406,32,100	// Edger
13410,8,100	// BF_Sword1
13411,8,100	// BF_Sword2
13416,8,100	// Krieger_Onehand_Sword1
13417,8,100	// Krieger_Onehand_Sword2
13418,8,100	// Krieger_Onehand_Sword3
13423,8,100	// P_Sabre1
13424,8,100	// P_Sabre2
13425,8,100	// Tourist_Sword
13434,8,100	// P_Saber3
//13439,8,100	//
13500,32,100	// Insurance60_Package
13501,32,100	// Assorted_Scroll_Box
13502,32,100	// Drooping_Kitty_Box
13503,32,100	// Magestic_Goat_Box
13504,32,100	// Deviruchi_Cap_Box
13505,32,100	// Executioner_Box
13506,32,100	// Brood_Axe_Box
13507,32,100	// Tomahawk_Box
13508,32,100	// Bow_Of_Rudra_Box
13509,32,100	// Cutlas_Box
13510,32,100	// Solar_Sword_Box
13511,32,100	// Sword_Breaker_Box
13512,32,100	// Mail_Breaker_Box
13513,32,100	// Moonlight_Sword_Box
13514,32,100	// Spanner_Box
13515,32,100	// Grape_Box
13516,32,100	// Royal_Jelly_Box
13517,32,100	// Yggdrasilberry_Box
13518,32,100	// Weapon_Card_Scroll_Box
13519,32,100	// Armor_Card_Scroll_Box
13520,32,100	// Helmet_Card_Scroll_Box
13521,32,100	// Garment_Card_Scroll_Box
13522,32,100	// Shield_Card_Scroll_Box
13523,32,100	// Shoes_Card_Scroll_Box
13524,32,100	// Accy_Card_Scroll_Box
13525,32,100	// Zeny_Scroll_Box
13526,32,100	// Pet_Egg_Scroll_Box1_
13527,32,100	// Pet_Egg_Scroll_Box2_
13528,32,100	// Pet_Egg_Scroll_Box3_
13529,32,100	// Pet_Egg_Scroll_Box4_
13530,32,100	// Pet_Egg_Scroll_Box5_
13531,32,100	// Light_Red_Pot_Box
13532,32,100	// Light_Orange_Pot_Box
13533,32,100	// Light_Yellow_Pot_Box
13534,32,100	// Light_White_Pot_Box
13535,32,100	// Light_Center_Pot_Box
13536,32,100	// Light_Awakening_Pot_Box
13537,32,100	// Light_Berserk_Pot_Box
13538,32,100	// Meteor_10_Scroll_Box
13539,32,100	// Storm_10_Scroll_Box
13540,32,100	// Vermilion_10_Scroll_Box
13541,32,100	// Lex_Aeterna_Scroll_Box
13542,32,100	// Magnificat_5_Scroll_Box
13543,32,100	// CP_Helm_Scroll_Box
13544,32,100	// CP_Shield_Scroll_Box
13545,32,100	// CP_Armor_Scroll_Box
13546,32,100	// CP_Weapon_Scroll_Box
13547,32,100	// Repair_Scroll_Box
13548,32,100	// Big_Bun_Box
13549,32,100	// Pill__Box
13550,32,100	// Superb_Fish_Slice_Box
13551,32,100	// Chewy_Ricecake_Box
13552,32,100	// Oriental_Pastry_Box
13553,32,100	// Dun_Tele_Scroll1_Box
13554,32,100	// Weapon_Card_Scroll_Box2
13555,32,100	// Weapon_Card_Scroll_Box3
13556,32,100	// Armor_Card_Scroll_Box2
13557,32,100	// Accy_Card_Scroll_Box2
13558,32,100	// Weapon_Card_Scroll
13559,32,100	// Armor_Card_Scroll
13560,32,100	// Helmet_Card_Scroll
13561,32,100	// Hood_Card_Scroll
13562,32,100	// Hood_Card_Scroll2
13563,32,100	// Shoes_Card_Scroll
13564,32,100	// Accy_Card_Scroll
13565,32,100	// Weapon_Card_Scroll2
13566,32,100	// Weapon_Card_Scroll3
13567,32,100	// Armor_Card_Scroll2
13568,32,100	// Accy_Card_Scroll2
13569,32,100	// PVP_Tele_Scroll_Box
13570,32,100	// Giant_Fly_Wing_Box50
13571,32,100	// Giant_Fly_Wing_Box100
13572,32,100	// Dex_Dish_Box30
13573,32,100	// Dex_Dish_Box50
13574,32,100	// Luk_Dish_Box30
13575,32,100	// Luk_Dish_Box50
13576,32,100	// Inc_Agi_10_Box30
13577,32,100	// Inc_Agi_10_Box50
13578,32,100	// Vit_Dish_Box30
13579,32,100	// Vit_Dish_Box50
13580,32,100	// Insurance_Package30
13581,32,100	// Insurance_Package50
13582,32,100	// Convex_Mirror_Box5
13583,32,100	// Convex_Mirror_Box30
13584,32,100	// Blessing10_Box30
13585,32,100	// Blessing10_Box50
13586,32,100	// Adrenaline10_Box30
13587,32,100	// Adrenaline10_Box50
13588,32,100	// Assumptio_5_Box30
13589,32,100	// Assumptio_5_Box50
13590,32,100	// Aspersio_5_Box30
13591,32,100	// Aspersio_5_Box50
13592,32,100	// Agi_Dish_Box30
13593,32,100	// Agi_Dish_Box50
13594,32,100	// Wind_Walk10_Box30
13595,32,100	// Wind_Walk10_Box50
13596,32,100	// Int_Dish_Box30
13597,32,100	// Int_Dish_Box50
13598,32,100	// Battle_Manual_Box1
13599,32,100	// Battle_Manual_Box5
13600,32,100	// Siegfried_Box5
13601,32,100	// Siegfried_Box20
13602,32,100	// Kafra_Card_Box30
13603,32,100	// Kafra_Card_Box50
13604,32,100	// Str_Dish_Box30
13605,32,100	// Str_Dish_Box50
13606,32,100	// Bubble_Gum_Box1
13607,32,100	// Bubble_Gum_Box5
13608,32,100	// Megaphone_Box1
13609,32,100	// Megaphone_Box5
13610,32,100	// Enriched_Elunium_Box5
13611,32,100	// Enriched_Oridecon_Box5
13612,32,100	// Handcuff_Box
13613,32,100	// Super_Pet_Egg_Box1
13614,32,100	// Super_Pet_Egg_Box2
13615,32,100	// Super_Pet_Egg_Box3
13616,32,100	// Super_Pet_Egg_Box4
13617,32,100	// Super_Pet_Egg1
13618,32,100	// Super_Pet_Egg2
13619,32,100	// Super_Pet_Egg3
13620,32,100	// Super_Pet_Egg4
13621,32,100	// Greed_Box30
13622,32,100	// Greed_Box50
13623,32,100	// Greed_Box100
13624,32,100	// Flee_30_Scroll_Box
13625,32,100	// Accuracy_30_Scroll_Box
13626,32,100	// Super_Card_Pet_Egg_Box1
13627,32,100	// Super_Card_Pet_Egg_Box2
13628,32,100	// Super_Card_Pet_Egg_Box3
13629,32,100	// Super_Card_Pet_Egg_Box4
13630,32,100	// Super_Card_Pet_Egg1
13631,32,100	// Super_Card_Pet_Egg2
13632,32,100	// Super_Card_Pet_Egg3
13633,32,100	// Super_Card_Pet_Egg4
13634,32,100	// Vigorgra_Package1
13635,32,100	// Vigorgra_Package2
13636,32,100	// Vigorgra_Package3
13637,32,100	// Vigorgra_Package4
13638,32,100	// Vigorgra_Package5
13639,32,100	// Vigorgra_Package6
13640,32,100	// Vigorgra_Package7
13641,32,100	// Vigorgra_Package8
13642,32,100	// Vigorgra_Package9
13643,32,100	// Vigorgra_Package10
13644,32,100	// Vigorgra_Package11
13645,32,100	// Vigorgra_Package12
13646,32,100	// Infiltrator_Box1
13647,32,100	// Muramasa_Box1
13648,32,100	// Excalibur_Box1
13649,32,100	// Combat_Knife_Box1
13650,32,100	// Counter_Dagger_Box1
13651,32,100	// Kaiser_Knuckle_Box1
13652,32,100	// Pole_Axe_Box1
13653,32,100	// Mighty_Staff_Box1
13654,32,100	// Right_Epsilon_Box1
13655,32,100	// Balistar_Box1
13656,32,100	// Diary_Of_Sage_Box1
13657,32,100	// Asura_Box1
13658,32,100	// Apple_Of_Archer_Box1
13659,32,100	// Bunny_Band_Box1
13660,32,100	// Sahkkat_Box1
13661,32,100	// Lord_Circlet_Box1
13662,32,100	// Elven_Ears_Box1
13663,32,100	// Steel_Flower_Box1
13664,32,100	// Critical_Ring_Box1
13665,32,100	// Earring_Box1
13666,32,100	// Ring_Box1
13667,32,100	// Necklace_Box1
13668,32,100	// Glove_Box1
13669,32,100	// Brooch_Box1
13670,32,100	// Rosary_Box1
13671,32,100	// Safety_Ring_Box1
13672,32,100	// Vesper_Core01_Box1
13673,32,100	// Vesper_Core02_Box1
13674,32,100	// Vesper_Core03_Box1
13675,32,100	// Vesper_Core04_Box1
13676,32,100	// Drooping_Kitty_Box1
13677,32,100	// Magestic_Goat_Box1
13678,32,100	// Deviruchi_Cap_Box1
13679,32,100	// Executioner_Box1
13680,32,100	// Brood_Axe_Box1
13681,32,100	// Tomahawk_Box1
13682,32,100	// Bow_Of_Rudra_Box1
13683,32,100	// Cutlas_Box1
13684,32,100	// Solar_Sword_Box1
13685,32,100	// Sword_Breaker_Box1
13686,32,100	// Mail_Breaker_Box1
13687,32,100	// Moonlight_Sword_Box1
13688,32,100	// Spanner_Box1
13689,32,100	// Bok_Choy_Box
13690,32,100	// Chung_E_Cake_Box
13691,32,100	// Freyja_Overcoat_Box
13692,32,100	// Freyja_Boots_Box
13693,32,100	// Freyja_Cape_Box
13694,32,100	// Freyja_Crown_Box
13695,32,100	// Battle_Manual25_Box
13696,32,100	// Battle_Manual100_Box
13696,32,100	// Battle_Manual100_Box
13697,32,100	// J_Blessing10_Box
13698,32,100	// J_Inc_Agi10_Box
13699,32,100	// J_Wind_Walk10_Box
13700,32,100	// J_Adrenaline10_Box
13701,32,100	// Pet_Egg_Scroll12
13702,32,100	// Pet_Egg_Scroll13
13703,32,100	// Pet_Egg_Scroll14
13704,32,100	// Super_Pet_Egg5
13705,32,100	// Super_Pet_Egg6
13706,32,100	// Super_Pet_Egg7
13707,32,100	// Super_Pet_Egg8
13708,32,100	// Pet_Egg_Scroll_E
13709,32,100	// BRO_Package_1
13710,32,100	// Max_Weight_Up_Box
13711,32,100	// Small_Life_Potion_Box
13712,32,100	// Small_Life_Potion_Box30
13713,32,100	// Small_Life_Potion_Box50
13714,32,100	// Med_Life_Potion_Box
13715,32,100	// Med_Life_Potion_Box30
13716,32,100	// Med_Life_Potion_Box50
13717,32,100	// Abrasive_Box5
13718,32,100	// Abrasive_Box10
13719,32,100	// Regeneration_Box5
13720,32,100	// Regeneration_Box10
13721,32,100	// Dun_Tele_Scroll_Box10
13722,32,100	// Pecopeco_Hairband_Box
13723,32,100	// Red_Glasses_Box
13724,32,100	// Whisper_Mask_Box
13725,32,100	// Ramen_Hat_Box
13726,32,100	// Gold_Box_
13727,32,100	// Silver_Box_
13728,32,100	// Gold_Key1_Box
13729,32,100	// Gold_Key5_Box
13730,32,100	// Silver_Key1_Box
13731,32,100	// Silver_Key5_Box
13734,32,100	// Pecopeco_Hairband_Box1
13735,32,100	// Red_Glasses_Box1
13736,32,100	// Whisper_Mask_Box1
13737,32,100	// Ramen_Hat_Box1
13738,32,100	// Glass_Of_Illusion_Box5
13739,32,100	// Glass_Of_Illusion_Box10
13740,32,100	// Shadow_Armor_S_Box5
13741,32,100	// Shadow_Armor_S_Box10
13742,32,100	// Shadow_Armor_S_Box30
13743,32,100	// Holy_Armor_S_Box5
13744,32,100	// Holy_Armor_S_Box10
13745,32,100	// Holy_Armor_S_Box30
13746,32,100	// S_Def_Potion_Box10
13747,32,100	// S_Def_Potion_Box30
13748,32,100	// S_Def_Potion_Box50
13749,32,100	// B_Def_Potion_Box10
13750,32,100	// B_Def_Potion_Box30
13751,32,100	// B_Def_Potion_Box50
13752,32,100	// S_Mdef_Potion_Box10
13753,32,100	// S_Mdef_Potion_Box30
13754,32,100	// S_Mdef_Potion_Box50
13755,32,100	// B_Mdef_Potion_Box10
13756,32,100	// B_Mdef_Potion_Box30
13757,32,100	// B_Mdef_Potion_Box50
13758,32,100	// Battle_Manual_X3_Box
13759,32,100	// In_Blue_Herb_Box
